x01,prediction
70100202_a08a02,7126
70100421_a08a02,4311
70100621_a08a02,2512
70100721_a08a02,7223
70101211_a08a02,7222
70101212_a08a02,4321
70102321_a08a02,8142
70102721_a08a02,3118
70111302_a08a02,3322
70112301_a08a02,8202
70112302_a08a02,8322
70112602_a08a02,5404
70121202_a08a02,4321
70125301_a08a02,9320
70125302_a08a02,8332
70125701_a08a02,8201
70125802_a08a02,3352
70130501_a08a02,7411
70202021_a08a02,8332
70203102_a08a02,5120
70203501_a08a02,1221
70203532_a08a02,6010
70203811_a08a02,3321
70204001_a08a02,7212
70205411_a08a02,4110
70205422_a08a02,5320
70210901_a08a02,5211
70210902_a08a02,5220
70212501_a08a02,7411
70213301_a08a02,2152
70300812_a08a02,9320
70300912_a08a02,4110
70300922_a08a02,7223
70301631_a08a02,5139
70303001_a08a02,9112
70303511_a08a02,4110
70310102_a08a02,3118
70310501_a08a02,2331
70310502_a08a02,2331
70312402_a08a02,6010
70313401_a08a02,7222
70314602_a08a02,2320
70315402_a08a02,7222
70315502_a08a02,5120
70401211_a08a02,3114
70401301_a08a02,4110
70401302_a08a02,8322
70402331_a08a02,3321
70402512_a08a02,2512
70410421_a08a02,3114
70410602_a08a02,7223
70412002_a08a02,3122
70415301_a08a02,8331
70921501_a08a02,7212
70923501_a08a02,5131
70930402_a08a02,3322
70930801_a08a02,9998
70931002_a08a02,3118
70931601_a08a02,3114
70932501_a08a02,7411
70932701_a08a02,7233
70933701_a08a02,3322
70934601_a08a02,5140
71022402_a08a02,7993
71023102_a08a02,114
71023701_a08a02,2320
71023901_a08a02,3118
71031501_a08a02,3123
71032102_a08a02,3323
71032601_a08a02,2320
71101021_a08a02,2421
71102212_a08a02,5139
71102401_a08a02,6010
71103201_a08a02,6010
71202312_a08a02,2512
71204101_a08a02,5212
71302011_a08a02,112
71302212_a08a02,2431
71404711_a08a02,2210
72102611_a08a02,3122
72102612_a08a02,4110
72120802_a08a02,7993
72122601_a08a02,5404
72130801_a08a02,7231
72131202_a08a02,4110
72201802_a08a02,6010
72402002_a08a02,6051
72500301_a08a02,9112
72500311_a08a02,8202
73722601_a08a02,2512
73722602_a08a02,2220
73722801_a08a02,5220
73730801_a08a02,8322
73730902_a08a02,2310
73732601_a08a02,2220
80102211_a08a02,3323
80105101_a08a02,5220
80111801_a08a02,4311
80201801_a08a02,2152
80202501_a08a02,5211
80203531_a08a02,3334
80214301_a08a02,4110
80300101_a08a02,2320
80301601_a08a02,3123
80404601_a08a02,4110
80410401_a08a02,5401
80414302_a08a02,3123
80500421_a08a02,2220
80500511_a08a02,4224
80500521_a08a02,114
80500801_a08a02,3322
80501602_a08a02,4311
80501612_a08a02,4211
80501631_a08a02,2320
80502301_a08a02,3322
80502302_a08a02,2332
80503601_a08a02,3341
80512601_a08a02,4120
80513101_a08a02,3322
80513102_a08a02,3322
80513702_a08a02,7212
80515821_a08a02,2152
80620802_a08a02,112
80621402_a08a02,3322
80622601_a08a02,3114
80623602_a08a02,4110
80631701_a08a02,7223
80633401_a08a02,9320
80722002_a08a02,2210
80732701_a08a02,7993
80732702_a08a02,8332
80734001_a08a02,9998
80734502_a08a02,8332
81102502_a08a02,7912
81103011_a08a02,114
81103031_a08a02,7231
81105902_a08a02,5220
81202802_a08a02,3312
81203711_a08a02,2210
81204112_a08a02,7233
81204212_a08a02,114
81300322_a08a02,3118
81301341_a08a02,5211
81305702_a08a02,7223
81306611_a08a02,3321
81402601_a08a02,3321
81403421_a08a02,5220
81403502_a08a02,5220
81500321_a08a02,2172
81501211_a08a02,4311
81501222_a08a02,5139
81502802_a08a02,3322
81503412_a08a02,4311
82022101_a08a02,1345
82023101_a08a02,2412
82023502_a08a02,3322
82030501_a08a02,9998
82032301_a08a02,4110
82202501_a08a02,6010
82420401_a08a02,7233
82422202_a08a02,7223
82422301_a08a02,9998
82422401_a08a02,1120
82422502_a08a02,7233
82422701_a08a02,7212
82423602_a08a02,2332
82433701_a08a02,2331
82434201_a08a02,9998
82500302_a08a02,9998
83020101_a08a02,1221
83021202_a08a02,5140
83021901_a08a02,4110
83023201_a08a02,5220
90102021_a08a02,4321
90103001_a08a02,5310
90202001_a08a02,4110
90203001_a08a02,3322
90300102_a08a02,4110
90300722_a08a02,8199
90301101_a08a02,4311
90303622_a08a02,2152
90312501_a08a02,3322
90402102_a08a02,3411
90410201_a08a02,3323
90510801_a08a02,5220
90604412_a08a02,2431
90612901_a08a02,2399
90613801_a08a02,2320
90721402_a08a02,3334
90721502_a08a02,2152
90722301_a08a02,5120
90722401_a08a02,7233
90723001_a08a02,7231
90724301_a08a02,5220
90724501_a08a02,3322
90732201_a08a02,2152
90735001_a08a02,7113
90735301_a08a02,9320
91101701_a08a02,3411
91102322_a08a02,2220
91102811_a08a02,3322
91105301_a08a02,5212
91107702_a08a02,8199
91123801_a08a02,112
91124401_a08a02,9312
91125401_a08a02,2220
91131501_a08a02,7411
91132001_a08a02,2512
91133201_a08a02,4110
91133402_a08a02,9320
91133802_a08a02,2331
91134601_a08a02,7114
91134701_a08a02,8202
91134902_a08a02,5120
91135001_a08a02,3122
91135301_a08a02,2331
91201911_a08a02,5211
91202011_a08a02,5404
91202512_a08a02,4110
91203002_a08a02,3322
91300311_a08a02,3118
91302012_a08a02,2320
91400112_a08a02,3321
91400121_a08a02,5131
91400911_a08a02,4311
91400921_a08a02,2172
91401701_a08a02,5296
91401721_a08a02,4311
91402111_a08a02,4110
91402121_a08a02,2512
91402131_a08a02,5220
91501521_a08a02,3322
91501522_a08a02,2152
91601921_a08a02,5211
91603821_a08a02,3341
91605822_a08a02,2210
92203411_a08a02,4110
92304901_a08a02,7123
92504811_a08a02,1345
97321501_a08a02,2152
97324902_a08a02,5220
97330401_a08a02,5220
97330501_a08a02,4110
97330801_a08a02,5402
97331402_a08a02,5131
97333301_a08a02,8332
97334301_a08a02,4311
97334602_a08a02,5220
97334901_a08a02,9201
97335301_a08a02,5296
97335601_a08a02,1344
97335901_a08a02,4311
97336202_a08a02,2331
97336301_a08a02,2144
97336302_a08a02,2332
